id,base_species_id,dex_num,slug_aliases,form_slug,form_name,region,showdown_slug,veekun_slug,veekun_form_id,is_legendary,is_mythical,is_cosmetic,has_gender_diffs,is_female,is_mega,is_primal,is_regional,is_totem,is_fusion,is_ability_form,is_gmax,can_dynamax,is_battle_only,is_reversible,is_home_storable,is_home_registrable,gen,name,slug,sorting_order
25,,25,[],,,kanto,pikachu,pikachu,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Pikachu,pikachu,0
26,,26,[],,,kanto,raichu,raichu,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Raichu,raichu,0
27,,27,[],,,kanto,sandshrew,sandshrew,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Sandshrew,sandshrew,0
28,,28,[],,,kanto,sandslash,sandslash,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Sandslash,sandslash,0
29,,29,[],,,kanto,nidoranf,nidoran-f,29,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,Nidoran♀,nidoranf,0
30,,30,[],,,kanto,nidorina,nidorina,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Nidorina,nidorina,0
31,,31,[],,,kanto,nidoqueen,nidoqueen,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Nidoqueen,nidoqueen,0
32,,32,[],,,kanto,nidoranm,nidoran-m,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Nidoran♂,nidoranm,0
33,,33,[],,,kanto,nidorino,nidorino,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Nidorino,nidorino,0
34,,34,[],,,kanto,nidoking,nidoking,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Nidoking,nidoking,0
35,,35,[],,,kanto,clefairy,clefairy,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Clefairy,clefairy,0
36,,36,[],,,kanto,clefable,clefable,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Clefable,clefable,0
37,,37,[],,,kanto,vulpix,vulpix,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Vulpix,vulpix,0
38,,38,[],,,kanto,ninetales,ninetales,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Ninetales,ninetales,0
39,,39,[],,,kanto,jigglypuff,jigglypuff,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Jigglypuff,jigglypuff,0
40,,40,[],,,kanto,wigglytuff,wigglytuff,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Wigglytuff,wigglytuff,0
41,,41,[],,,kanto,zubat,zubat,41,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Zubat,zubat,0
42,,42,[],,,kanto,golbat,golbat,42,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Golbat,golbat,0
43,,43,[],,,kanto,oddish,oddish,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Oddish,oddish,0
44,,44,[],,,kanto,gloom,gloom,44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Gloom,gloom,0
45,,45,[],,,kanto,vileplume,vileplume,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Vileplume,vileplume,0
46,,46,[],,,kanto,paras,paras,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Paras,paras,0
47,,47,[],,,kanto,parasect,parasect,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Parasect,parasect,0
48,,48,[],,,kanto,venonat,venonat,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Venonat,venonat,0
49,,49,[],,,kanto,venomoth,venomoth,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Venomoth,venomoth,0
50,,50,[],,,kanto,diglett,diglett,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Diglett,diglett,0
51,,51,[],,,kanto,dugtrio,dugtrio,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Dugtrio,dugtrio,0
52,,52,[],,,kanto,meowth,meowth,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Meowth,meowth,0
53,,53,[],,,kanto,persian,persian,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Persian,persian,0
54,,54,[],,,kanto,psyduck,psyduck,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Psyduck,psyduck,0
55,,55,[],,,kanto,golduck,golduck,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Golduck,golduck,0
56,,56,[],,,kanto,mankey,mankey,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Mankey,mankey,0
57,,57,[],,,kanto,primeape,primeape,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Primeape,primeape,0
58,,58,[],,,kanto,growlithe,growlithe,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Growlithe,growlithe,0
59,,59,[],,,kanto,arcanine,arcanine,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Arcanine,arcanine,0
60,,60,[],,,kanto,poliwag,poliwag,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Poliwag,poliwag,0
61,,61,[],,,kanto,poliwhirl,poliwhirl,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Poliwhirl,poliwhirl,0
62,,62,[],,,kanto,poliwrath,poliwrath,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Poliwrath,poliwrath,0
63,,63,[],,,kanto,abra,abra,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Abra,abra,0
64,,64,[],,,kanto,kadabra,kadabra,64,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Kadabra,kadabra,0
65,,65,[],,,kanto,alakazam,alakazam,65,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Alakazam,alakazam,0
66,,66,[],,,kanto,machop,machop,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Machop,machop,0
67,,67,[],,,kanto,machoke,machoke,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Machoke,machoke,0
68,,68,[],,,kanto,machamp,machamp,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Machamp,machamp,0
69,,69,[],,,kanto,bellsprout,bellsprout,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Bellsprout,bellsprout,0
70,,70,[],,,kanto,weepinbell,weepinbell,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Weepinbell,weepinbell,0
71,,71,[],,,kanto,victreebel,victreebel,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Victreebel,victreebel,0
72,,72,[],,,kanto,tentacool,tentacool,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Tentacool,tentacool,0
73,,73,[],,,kanto,tentacruel,tentacruel,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Tentacruel,tentacruel,0
74,,74,[],,,kanto,geodude,geodude,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Geodude,geodude,0
75,,75,[],,,kanto,graveler,graveler,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Graveler,graveler,0
76,,76,[],,,kanto,golem,golem,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Golem,golem,0
77,,77,[],,,kanto,ponyta,ponyta,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Ponyta,ponyta,0
78,,78,[],,,kanto,rapidash,rapidash,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Rapidash,rapidash,0
79,,79,[],,,kanto,slowpoke,slowpoke,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Slowpoke,slowpoke,0
80,,80,[],,,kanto,slowbro,slowbro,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Slowbro,slowbro,0
81,,81,[],,,kanto,magnemite,magnemite,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Magnemite,magnemite,0
82,,82,[],,,kanto,magneton,magneton,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Magneton,magneton,0
83,,83,[],,,kanto,farfetchd,farfetchd,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Farfetch’d,farfetchd,0
84,,84,[],,,kanto,doduo,doduo,84,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Doduo,doduo,0
85,,85,[],,,kanto,dodrio,dodrio,85,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Dodrio,dodrio,0
86,,86,[],,,kanto,seel,seel,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Seel,seel,0
87,,87,[],,,kanto,dewgong,dewgong,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Dewgong,dewgong,0
88,,88,[],,,kanto,grimer,grimer,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Grimer,grimer,0
89,,89,[],,,kanto,muk,muk,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Muk,muk,0
90,,90,[],,,kanto,shellder,shellder,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Shellder,shellder,0
91,,91,[],,,kanto,cloyster,cloyster,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Cloyster,cloyster,0
92,,92,[],,,kanto,gastly,gastly,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Gastly,gastly,0
93,,93,[],,,kanto,haunter,haunter,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Haunter,haunter,0
94,,94,[],,,kanto,gengar,gengar,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Gengar,gengar,0
95,,95,[],,,kanto,onix,onix,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Onix,onix,0
96,,96,[],,,kanto,drowzee,drowzee,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Drowzee,drowzee,0
97,,97,[],,,kanto,hypno,hypno,97,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Hypno,hypno,0
98,,98,[],,,kanto,krabby,krabby,98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Krabby,krabby,0
99,,99,[],,,kanto,kingler,kingler,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Kingler,kingler,0
100,,100,[],,,kanto,voltorb,voltorb,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Voltorb,voltorb,0
101,,101,[],,,kanto,electrode,electrode,101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Electrode,electrode,0
102,,102,[],,,kanto,exeggcute,exeggcute,102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Exeggcute,exeggcute,0
103,,103,[],,,kanto,exeggutor,exeggutor,103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Exeggutor,exeggutor,0
104,,104,[],,,kanto,cubone,cubone,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Cubone,cubone,0
105,,105,[],,,kanto,marowak,marowak,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Marowak,marowak,0
106,,106,[],,,kanto,hitmonlee,hitmonlee,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Hitmonlee,hitmonlee,0
107,,107,[],,,kanto,hitmonchan,hitmonchan,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Hitmonchan,hitmonchan,0
108,,108,[],,,kanto,lickitung,lickitung,108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Lickitung,lickitung,0
109,,109,[],,,kanto,koffing,koffing,109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Koffing,koffing,0
110,,110,[],,,kanto,weezing,weezing,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Weezing,weezing,0
111,,111,[],,,kanto,rhyhorn,rhyhorn,111,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Rhyhorn,rhyhorn,0
112,,112,[],,,kanto,rhydon,rhydon,112,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Rhydon,rhydon,0
113,,113,[],,,kanto,chansey,chansey,113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Chansey,chansey,0
114,,114,[],,,kanto,tangela,tangela,114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Tangela,tangela,0
115,,115,[],,,kanto,kangaskhan,kangaskhan,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Kangaskhan,kangaskhan,0
116,,116,[],,,kanto,horsea,horsea,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Horsea,horsea,0
117,,117,[],,,kanto,seadra,seadra,117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Seadra,seadra,0
118,,118,[],,,kanto,goldeen,goldeen,118,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Goldeen,goldeen,0
119,,119,[],,,kanto,seaking,seaking,119,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Seaking,seaking,0
120,,120,[],,,kanto,staryu,staryu,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Staryu,staryu,0
121,,121,[],,,kanto,starmie,starmie,121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Starmie,starmie,0
122,,122,[],,,kanto,mrmime,mr-mime,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Mr. Mime",mrmime,0
123,,123,[],,,kanto,scyther,scyther,123,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Scyther,scyther,0
124,,124,[],,,kanto,jynx,jynx,124,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Jynx,jynx,0
125,,125,[],,,kanto,electabuzz,electabuzz,125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Electabuzz,electabuzz,0
126,,126,[],,,kanto,magmar,magmar,126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Magmar,magmar,0
127,,127,[],,,kanto,pinsir,pinsir,127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Pinsir,pinsir,0
128,,128,[],,,kanto,tauros,tauros,128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Tauros,tauros,0
129,,129,[],,,kanto,magikarp,magikarp,129,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Magikarp,magikarp,0
130,,130,[],,,kanto,gyarados,gyarados,130,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Gyarados,gyarados,0
131,,131,[],,,kanto,lapras,lapras,131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Lapras,lapras,0
132,,132,[],,,kanto,ditto,ditto,132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Ditto,ditto,0
133,,133,[],,,kanto,eevee,eevee,133,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Eevee,eevee,0
134,,134,[],,,kanto,vaporeon,vaporeon,134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Vaporeon,vaporeon,0
135,,135,[],,,kanto,jolteon,jolteon,135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Jolteon,jolteon,0
136,,136,[],,,kanto,flareon,flareon,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Flareon,flareon,0
137,,137,[],,,kanto,porygon,porygon,137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Porygon,porygon,0
138,,138,[],,,kanto,omanyte,omanyte,138,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Omanyte,omanyte,0
139,,139,[],,,kanto,omastar,omastar,139,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Omastar,omastar,0
140,,140,[],,,kanto,kabuto,kabuto,140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Kabuto,kabuto,0
141,,141,[],,,kanto,kabutops,kabutops,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Kabutops,kabutops,0
142,,142,[],,,kanto,aerodactyl,aerodactyl,142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Aerodactyl,aerodactyl,0
143,,143,[],,,kanto,snorlax,snorlax,143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Snorlax,snorlax,0
144,,144,[],,,kanto,articuno,articuno,144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Articuno,articuno,0
145,,145,[],,,kanto,zapdos,zapdos,145,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Zapdos,zapdos,0
146,,146,[],,,kanto,moltres,moltres,146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Moltres,moltres,0
147,,147,[],,,kanto,dratini,dratini,147,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Dratini,dratini,0
148,,148,[],,,kanto,dragonair,dragonair,148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Dragonair,dragonair,0
149,,149,[],,,kanto,dragonite,dragonite,149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Dragonite,dragonite,0
150,,150,[],,,kanto,mewtwo,mewtwo,150,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Mewtwo,mewtwo,0
151,,151,[],,,kanto,mew,mew,151,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Mew,mew,0
152,,152,[],,,johto,chikorita,chikorita,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Chikorita,chikorita,0
153,,153,[],,,johto,bayleef,bayleef,153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Bayleef,bayleef,0
154,,154,[],,,johto,meganium,meganium,154,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Meganium,meganium,0
155,,155,[],,,johto,cyndaquil,cyndaquil,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Cyndaquil,cyndaquil,0
156,,156,[],,,johto,quilava,quilava,156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Quilava,quilava,0
157,,157,[],,,johto,typhlosion,typhlosion,157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Typhlosion,typhlosion,0
158,,158,[],,,johto,totodile,totodile,158,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Totodile,totodile,0
159,,159,[],,,johto,croconaw,croconaw,159,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Croconaw,croconaw,0
160,,160,[],,,johto,feraligatr,feraligatr,160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Feraligatr,feraligatr,0
161,,161,[],,,johto,sentret,sentret,161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Sentret,sentret,0
162,,162,[],,,johto,furret,furret,162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Furret,furret,0
163,,163,[],,,johto,hoothoot,hoothoot,163,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Hoothoot,hoothoot,0
164,,164,[],,,johto,noctowl,noctowl,164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Noctowl,noctowl,0
165,,165,[],,,johto,ledyba,ledyba,165,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Ledyba,ledyba,0
166,,166,[],,,johto,ledian,ledian,166,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Ledian,ledian,0
167,,167,[],,,johto,spinarak,spinarak,167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Spinarak,spinarak,0
168,,168,[],,,johto,ariados,ariados,168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Ariados,ariados,0
169,,169,[],,,johto,crobat,crobat,169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Crobat,crobat,0
170,,170,[],,,johto,chinchou,chinchou,170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Chinchou,chinchou,0
171,,171,[],,,johto,lanturn,lanturn,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Lanturn,lanturn,0
172,,172,[],,,johto,pichu,pichu,172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Pichu,pichu,0
173,,173,[],,,johto,cleffa,cleffa,173,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Cleffa,cleffa,0
174,,174,[],,,johto,igglybuff,igglybuff,174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Igglybuff,igglybuff,0
175,,175,[],,,johto,togepi,togepi,175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Togepi,togepi,0
176,,176,[],,,johto,togetic,togetic,176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Togetic,togetic,0
177,,177,[],,,johto,natu,natu,177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Natu,natu,0
178,,178,[],,,johto,xatu,xatu,178,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Xatu,xatu,0
179,,179,[],,,johto,mareep,mareep,179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Mareep,mareep,0
180,,180,[],,,johto,flaaffy,flaaffy,180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Flaaffy,flaaffy,0
181,,181,[],,,johto,ampharos,ampharos,181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Ampharos,ampharos,0
182,,182,[],,,johto,bellossom,bellossom,182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Bellossom,bellossom,0
183,,183,[],,,johto,marill,marill,183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Marill,marill,0
184,,184,[],,,johto,azumarill,azumarill,184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Azumarill,azumarill,0
185,,185,[],,,johto,sudowoodo,sudowoodo,185,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Sudowoodo,sudowoodo,0
186,,186,[],,,johto,politoed,politoed,186,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Politoed,politoed,0
187,,187,[],,,johto,hoppip,hoppip,187,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,Hoppip,hoppip,0
