id,pokemon_id,ability1_id,ability2_id,ability_hidden_id,type1,type2,egg_group1,egg_group2,height,weight,color,actual_color,shape,male_ratio,female_ratio,growth_rate,catch_rate,hatch_cycles,base_friendship,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,yield_base_exp,yield_hp,yield_attack,yield_defense,yield_sp_attack,yield_sp_defense,yield_speed,gen
28,28,8,,146,ground,,field,,100,2950,yellow,yellow,bipedal-tailed,0,0,medium-fast,90,20,50,75,100,110,45,55,65,158,0,0,2,0,0,0,8
29,29,38,79,55,poison,,monster,field,40,700,blue,blue,quadruped,0,100,medium-slow,235,20,50,55,47,52,40,40,41,55,1,0,0,0,0,0,8
30,30,38,79,55,poison,,undiscovered,,80,2000,blue,blue,quadruped,0,100,medium-slow,120,20,50,70,62,67,55,55,56,128,2,0,0,0,0,0,8
31,31,38,79,125,poison,ground,undiscovered,,130,6000,blue,blue,bipedal-tailed,0,100,medium-slow,45,20,50,90,92,87,75,85,76,253,3,0,0,0,0,0,8
32,32,38,79,55,poison,,monster,field,50,900,purple,purple,quadruped,100,0,medium-slow,235,20,50,46,57,40,40,40,50,55,0,1,0,0,0,0,8
33,33,38,79,55,poison,,monster,field,90,1950,purple,purple,quadruped,100,0,medium-slow,120,20,50,61,72,57,55,55,65,128,0,2,0,0,0,0,8
34,34,38,79,125,poison,ground,monster,field,140,6200,purple,purple,bipedal-tailed,100,0,medium-slow,45,20,50,81,102,77,85,75,85,253,0,3,0,0,0,0,8
35,35,56,98,132,fairy,,fairy,,60,750,pink,pink,bipedal-tailed,0,0,fast,150,10,140,70,45,48,60,65,35,113,2,0,0,0,0,0,8
36,36,56,98,109,fairy,,fairy,,130,4000,pink,pink,bipedal-tailed,0,0,fast,25,10,140,95,70,73,95,90,60,242,3,0,0,0,0,0,8
37,37,18,,70,fire,,field,,60,990,brown,brown,quadruped,0,0,medium-fast,190,20,50,38,41,40,50,65,65,60,0,0,0,0,0,1,8
38,38,18,,70,fire,,field,,110,1989,yellow,yellow,quadruped,0,0,medium-fast,75,20,50,73,76,75,81,100,100,177,0,0,0,0,1,1,8
39,39,56,172,132,normal,fairy,fairy,,50,550,pink,pink,bipedal-tailless,0,0,fast,170,10,50,115,45,20,45,25,20,95,2,0,0,0,0,0,8
40,40,56,172,119,normal,fairy,fairy,,100,1200,pink,pink,bipedal-tailless,0,0,fast,50,10,50,140,70,45,85,50,45,218,3,0,0,0,0,0,8
41,41,39,,151,poison,flying,flying,,80,750,purple,purple,wings-single,0,0,medium-fast,255,15,50,40,45,35,30,40,55,49,0,0,0,0,0,1,8
42,42,39,,151,poison,flying,flying,,160,5500,purple,purple,wings-single,0,0,medium-fast,90,15,50,75,80,70,65,75,90,159,0,0,0,0,0,2,8
43,43,34,,50,grass,poison,grass,,50,540,blue,blue,head-legs,0,0,medium-slow,255,20,50,45,50,55,75,65,30,64,0,0,0,1,0,0,8
44,44,34,,1,grass,poison,grass,,80,860,blue,blue,bipedal-tailless,0,0,medium-slow,120,20,50,60,65,70,85,75,40,138,0,0,0,2,0,0,8
45,45,34,,27,grass,poison,grass,,120,1860,red,red,bipedal-tailless,0,0,medium-slow,45,20,50,75,80,85,110,90,50,245,0,0,0,3,0,0,8
46,46,27,87,6,bug,grass,bug,grass,30,540,red,red,insectoid,0,0,medium-fast,190,20,70,35,70,55,45,55,25,57,0,1,0,0,0,0,8
47,47,27,87,6,bug,grass,bug,grass,100,2950,red,red,insectoid,0,0,medium-fast,75,20,70,60,95,80,60,80,30,142,0,2,1,0,0,0,8
48,48,14,110,50,bug,poison,bug,,100,3000,purple,purple,bipedal-tailless,0,0,medium-fast,190,20,70,60,55,50,40,55,45,61,0,0,0,0,1,0,8
49,49,19,110,147,bug,poison,bug,,150,1250,purple,purple,wings-multiple,0,0,medium-fast,75,20,70,70,65,60,90,75,90,158,0,0,0,1,0,1,8
50,50,8,71,159,ground,,field,,20,80,brown,brown,head-base,0,0,medium-fast,255,20,50,10,55,25,35,45,95,53,0,0,0,0,0,1,8
51,51,8,71,159,ground,,field,,70,3329,brown,brown,multiple,0,0,medium-fast,50,20,50,35,100,50,50,70,120,149,0,0,0,0,0,2,8
52,52,53,101,127,normal,,field,,40,420,yellow,yellow,quadruped,0,0,medium-fast,255,20,50,40,45,35,40,40,90,58,0,0,0,0,0,1,8
53,53,7,101,127,normal,,field,,100,3200,yellow,yellow,quadruped,0,0,medium-fast,90,20,50,65,70,60,65,65,115,154,0,0,0,0,0,2,8
54,54,6,13,33,water,,water-1,field,80,1960,yellow,yellow,bipedal-tailed,0,0,medium-fast,190,20,50,50,52,48,65,50,55,64,0,0,0,1,0,0,8
55,55,6,13,33,water,,water-1,field,170,7659,blue,blue,bipedal-tailed,0,0,medium-fast,75,20,50,80,82,78,95,80,85,175,0,0,0,2,0,0,8
56,56,72,83,128,fighting,,field,,50,2800,brown,brown,bipedal-tailed,0,0,medium-fast,190,20,70,40,80,35,35,45,70,61,0,1,0,0,0,0,8
57,57,72,83,128,fighting,,field,,100,3200,brown,brown,bipedal-tailed,0,0,medium-fast,75,20,70,65,105,60,60,70,95,159,0,2,0,0,0,0,8
58,58,22,18,154,fire,,field,,70,1900,brown,brown,quadruped,0,0,slow,190,20,50,55,70,45,70,50,60,70,0,1,0,0,0,0,8
59,59,22,18,154,fire,,field,,190,15500,brown,brown,quadruped,0,0,slow,75,20,50,90,110,80,100,80,95,194,0,2,0,0,0,0,8
60,60,11,6,33,water,,water-1,,60,1240,blue,blue,head-legs,0,0,medium-slow,255,20,50,40,50,40,40,40,90,60,0,0,0,0,0,1,8
61,61,11,6,33,water,,water-1,,100,2000,blue,blue,bipedal-tailless,0,0,medium-slow,120,20,50,65,65,65,50,50,90,135,0,0,0,0,0,2,8
62,62,11,6,33,water,fighting,water-1,,130,5400,blue,blue,bipedal-tailless,0,0,medium-slow,45,20,50,90,95,95,70,90,70,255,0,0,3,0,0,0,8
63,63,28,39,98,psychic,,human-like,,90,1950,brown,brown,bipedal-tailed,0,0,medium-slow,200,20,50,25,20,15,105,55,90,62,0,0,0,1,0,0,8
64,64,28,39,98,psychic,,human-like,,130,5650,brown,brown,bipedal-tailed,0,0,medium-slow,100,20,50,40,35,30,120,70,105,140,0,0,0,2,0,0,8
65,65,28,39,98,psychic,,human-like,,150,4800,brown,brown,bipedal-tailless,0,0,medium-slow,50,20,50,55,50,45,135,95,120,250,0,0,0,3,0,0,8
66,66,62,99,80,fighting,,human-like,,80,1950,gray,gray,bipedal-tailed,0,0,medium-slow,180,20,50,70,80,50,35,35,35,61,0,1,0,0,0,0,8
67,67,62,99,80,fighting,,human-like,,150,7050,gray,gray,bipedal-tailless,0,0,medium-slow,90,20,50,80,100,70,50,60,45,142,0,2,0,0,0,0,8
68,68,62,99,80,fighting,,human-like,,160,13000,gray,gray,bipedal-tailless,0,0,medium-slow,45,20,50,90,130,80,65,85,55,253,0,3,0,0,0,0,8
69,69,34,,82,grass,poison,grass,,70,400,green,green,bipedal-tailless,0,0,medium-slow,255,20,70,50,75,35,70,30,40,60,0,1,0,0,0,0,8
70,70,34,,82,grass,poison,grass,,100,640,green,green,head-base,0,0,medium-slow,120,20,70,65,90,50,85,45,55,137,0,2,0,0,0,0,8
71,71,34,,82,grass,poison,grass,,170,1550,green,green,head-base,0,0,medium-slow,45,20,70,80,105,65,100,70,70,221,0,3,0,0,0,0,8
72,72,29,64,44,water,poison,water-3,,90,4550,blue,blue,tentacles,0,0,slow,190,20,50,40,40,35,50,100,70,67,0,0,0,0,1,0,8
73,73,29,64,44,water,poison,water-3,,160,5500,blue,blue,tentacles,0,0,slow,60,20,50,80,70,65,80,120,100,180,0,0,0,0,2,0,8
74,74,69,5,8,rock,ground,mineral,,40,2000,brown,brown,head-arms,0,0,medium-slow,255,15,70,40,80,100,30,30,20,60,0,0,1,0,0,0,8
75,75,69,5,8,rock,ground,mineral,,100,10500,brown,brown,bipedal-tailless,0,0,medium-slow,120,15,70,55,95,115,45,45,35,137,0,0,2,0,0,0,8
76,76,69,5,8,rock,ground,mineral,,140,30000,brown,brown,bipedal-tailless,0,0,medium-slow,45,15,70,80,120,130,55,65,45,223,0,0,3,0,0,0,8
77,77,50,18,49,fire,,field,,100,3000,yellow,yellow,quadruped,0,0,medium-fast,190,20,50,50,85,55,65,65,90,82,0,0,0,0,0,1,8
78,78,50,18,49,fire,,field,,170,9500,yellow,yellow,quadruped,0,0,medium-fast,60,20,50,65,100,70,80,80,105,175,0,0,0,0,0,2,8
79,79,12,20,144,water,psychic,monster,water-1,120,3600,pink,pink,quadruped,0,0,medium-fast,190,20,50,90,65,65,40,40,15,63,1,0,0,0,0,0,8
80,80,12,20,144,water,psychic,monster,water-1,160,7850,pink,pink,bipedal-tailed,0,0,medium-fast,75,20,50,95,75,110,100,80,30,172,0,0,2,0,0,0,8
81,81,42,5,148,electric,steel,mineral,,30,600,gray,gray,head-arms,0,0,medium-fast,190,20,50,25,35,70,95,55,45,65,0,0,0,1,0,0,8
82,82,42,5,148,electric,steel,mineral,,100,6000,gray,gray,multiple,0,0,medium-fast,60,20,50,50,60,95,120,70,70,163,0,0,0,2,0,0,8
83,83,51,39,128,normal,flying,flying,field,80,1500,brown,brown,wings-single,0,0,medium-fast,45,20,50,52,90,55,58,62,60,132,0,1,0,0,0,0,8
84,84,50,48,77,normal,flying,flying,,140,3920,brown,brown,head-legs,0,0,medium-fast,190,20,70,35,85,45,35,35,75,62,0,1,0,0,0,0,8
85,85,50,48,77,normal,flying,flying,,180,8520,brown,brown,head-legs,0,0,medium-fast,45,20,70,60,110,70,60,60,110,165,0,2,0,0,0,0,8
86,86,47,93,115,water,,water-1,field,110,9000,white,white,fins,0,0,medium-fast,190,20,70,65,45,55,45,70,45,65,0,0,0,0,1,0,8
87,87,47,93,115,water,ice,water-1,field,170,12000,white,white,fins,0,0,medium-fast,75,20,70,90,70,80,70,95,70,166,0,0,0,0,2,0,8
88,88,1,60,143,poison,,amorphous,,90,3000,purple,purple,head-arms,0,0,medium-fast,190,20,70,80,80,50,40,50,25,65,1,0,0,0,0,0,8
89,89,1,60,143,poison,,amorphous,,120,3000,purple,purple,head-arms,0,0,medium-fast,75,20,70,105,105,75,65,100,50,175,1,1,0,0,0,0,8
90,90,75,92,142,water,,water-3,,30,400,purple,purple,head,0,0,slow,190,20,50,30,65,100,45,25,40,61,0,0,1,0,0,0,8
91,91,75,92,142,water,ice,water-3,,150,13250,purple,purple,head,0,0,slow,60,20,50,50,95,180,85,45,70,184,0,0,2,0,0,0,8
92,92,26,,,ghost,poison,amorphous,,130,10,purple,purple,head,0,0,medium-slow,190,20,50,30,35,30,100,35,80,62,0,0,0,1,0,0,8
93,93,26,,,ghost,poison,amorphous,,160,10,purple,purple,head-arms,0,0,medium-slow,90,20,50,45,50,45,115,55,95,142,0,0,0,2,0,0,8
94,94,130,,,ghost,poison,amorphous,,150,4050,purple,purple,bipedal-tailed,0,0,medium-slow,45,20,50,60,65,60,130,75,110,250,0,0,0,3,0,0,8
95,95,69,5,133,rock,ground,mineral,,880,21000,gray,gray,serpentine,0,0,medium-fast,45,25,50,35,45,160,30,45,70,77,0,0,1,0,0,0,8
96,96,15,108,39,psychic,,human-like,,100,3240,yellow,yellow,bipedal-tailless,0,0,medium-fast,190,20,70,60,48,45,43,90,42,66,0,0,0,0,1,0,8
97,97,15,108,39,psychic,,human-like,,160,7559,yellow,yellow,bipedal-tailless,0,0,medium-fast,75,20,70,85,73,70,73,115,67,169,0,0,0,0,2,0,8
98,98,52,75,125,water,,water-3,,40,650,red,red,insectoid,0,0,medium-fast,225,20,50,30,105,90,25,25,50,65,0,1,0,0,0,0,8
99,99,52,75,125,water,,water-3,,130,6000,red,red,insectoid,0,0,medium-fast,60,20,50,55,130,115,50,50,75,166,0,2,0,0,0,0,8
100,100,43,9,106,electric,,mineral,,50,1040,red,red,head,0,0,medium-fast,190,20,70,40,30,50,55,55,100,66,0,0,0,0,0,1,8
101,101,43,9,106,electric,,mineral,,120,6659,red,red,head,0,0,medium-fast,60,20,70,60,50,70,80,80,150,172,0,0,0,0,0,2,8
102,102,34,,139,grass,psychic,grass,,40,250,pink,pink,multiple,0,0,slow,90,20,50,60,40,80,60,45,40,65,0,0,1,0,0,0,8
103,103,34,,139,grass,psychic,grass,,200,12000,yellow,yellow,head-legs,0,0,slow,45,20,50,95,95,85,125,75,55,186,0,0,0,2,0,0,8
104,104,69,31,4,ground,,monster,,40,650,brown,brown,bipedal-tailed,0,0,medium-fast,190,20,50,50,50,95,40,50,35,64,0,0,1,0,0,0,8
105,105,69,31,4,ground,,monster,,100,4500,brown,brown,bipedal-tailed,0,0,medium-fast,75,20,50,60,80,110,50,80,45,149,0,0,2,0,0,0,8
106,106,7,120,84,fighting,,human-like,,150,4980,brown,brown,bipedal-tailless,100,0,medium-fast,45,25,50,50,120,53,35,110,87,159,0,2,0,0,0,0,8
107,107,51,89,39,fighting,,human-like,,140,5020,brown,brown,bipedal-tailless,100,0,medium-fast,45,25,50,50,105,79,35,110,76,159,0,0,0,0,2,0,8
108,108,20,12,13,normal,,monster,,120,6550,pink,pink,bipedal-tailed,0,0,medium-fast,45,20,50,90,55,75,60,75,30,77,2,0,0,0,0,0,8
109,109,26,256,1,poison,,amorphous,,60,100,purple,purple,head,0,0,medium-fast,190,20,50,40,65,95,60,45,35,68,0,0,1,0,0,0,8
110,110,26,256,1,poison,,amorphous,,120,950,purple,purple,multiple,0,0,medium-fast,60,20,50,65,90,120,85,70,60,172,0,0,2,0,0,0,8
111,111,31,69,120,ground,rock,monster,field,100,11500,gray,gray,quadruped,0,0,slow,120,20,50,80,85,95,30,30,25,69,0,0,1,0,0,0,8
112,112,31,69,120,ground,rock,monster,field,190,12000,gray,gray,bipedal-tailed,0,0,slow,60,20,50,105,130,120,45,45,40,170,0,2,0,0,0,0,8
113,113,30,32,131,normal,,fairy,,110,3460,pink,pink,bipedal-tailed,0,100,fast,30,40,140,250,5,5,35,105,50,395,2,0,0,0,0,0,8
114,114,34,102,144,grass,,grass,,100,3500,blue,blue,head-legs,0,0,medium-fast,45,20,50,65,55,115,100,40,60,87,0,0,1,0,0,0,8
115,115,48,113,39,normal,,monster,,220,8000,brown,brown,bipedal-tailed,0,100,medium-fast,45,20,50,105,95,80,40,80,90,172,2,0,0,0,0,0,8
116,116,33,97,6,water,,water-1,dragon,40,800,blue,blue,head-base,0,0,medium-fast,225,20,50,30,40,70,70,25,60,59,0,0,0,1,0,0,8
117,117,38,97,6,water,,water-1,dragon,120,2500,blue,blue,head-base,0,0,medium-fast,75,20,50,55,65,95,95,45,85,154,0,0,1,1,0,0,8
118,118,33,41,31,water,,water-2,,60,1500,red,red,fins,0,0,medium-fast,225,20,50,45,67,60,35,50,63,64,0,1,0,0,0,0,8
119,119,33,41,31,water,,water-2,,130,3900,red,red,fins,0,0,medium-fast,60,20,50,80,92,65,65,80,68,158,0,2,0,0,0,0,8
120,120,35,30,148,water,,water-3,,80,3450,brown,brown,head-base,0,0,slow,225,20,50,30,45,55,70,55,85,68,0,0,0,0,0,1,8
121,121,35,30,148,water,psychic,water-3,,110,8000,purple,purple,head-base,0,0,slow,60,20,50,60,75,85,100,85,115,182,0,0,0,0,0,2,8
122,122,43,111,101,psychic,fairy,human-like,,130,5450,pink,pink,bipedal-tailless,0,0,medium-fast,45,25,50,40,45,65,100,120,90,161,0,0,0,0,2,0,8
123,123,68,101,80,bug,flying,bug,,150,5600,green,green,wings-multiple,0,0,medium-fast,45,25,50,70,110,80,55,80,105,100,0,1,0,0,0,0,8
124,124,12,108,87,ice,psychic,human-like,,140,4060,red,red,bipedal-tailless,0,100,medium-fast,45,25,50,65,50,35,115,95,95,159,0,0,0,2,0,0,8
125,125,9,,72,electric,,human-like,,110,3000,yellow,yellow,bipedal-tailed,0,0,medium-fast,45,25,50,65,83,57,95,85,105,172,0,0,0,0,0,2,8
126,126,49,,72,fire,,human-like,,130,4450,red,red,bipedal-tailed,0,0,medium-fast,45,25,50,65,95,57,100,85,93,173,0,0,0,2,0,0,8
127,127,52,104,153,bug,,bug,,150,5500,brown,brown,bipedal-tailless,0,0,slow,45,25,50,65,125,100,55,70,85,175,0,2,0,0,0,0,8
128,128,22,83,125,normal,,field,,140,8840,brown,brown,quadruped,100,0,slow,45,20,50,75,100,95,40,70,110,172,0,1,0,0,0,1,8
129,129,33,,155,water,,water-2,dragon,90,1000,red,red,fins,0,0,slow,255,5,50,20,10,55,15,20,80,40,0,0,0,0,0,1,8
130,130,22,,153,water,flying,water-2,dragon,650,23500,blue,blue,serpentine,0,0,slow,45,5,50,95,125,79,60,100,81,189,0,2,0,0,0,0,8
131,131,11,75,93,water,ice,monster,water-1,250,22000,blue,blue,fins,0,0,slow,45,40,50,130,85,80,85,95,60,187,2,0,0,0,0,0,8
132,132,7,,150,normal,,ditto,,30,400,purple,purple,head,0,0,medium-fast,35,20,50,48,48,48,48,48,48,101,1,0,0,0,0,0,8
133,133,50,91,107,normal,,field,,30,650,brown,brown,quadruped,0,0,medium-fast,45,35,50,55,55,50,45,65,55,65,0,0,0,0,1,0,8
134,134,11,,93,water,,field,,100,2900,blue,blue,quadruped,0,0,medium-fast,45,35,50,130,65,60,110,95,65,184,2,0,0,0,0,0,8
135,135,10,,95,electric,,field,,80,2450,yellow,yellow,quadruped,0,0,medium-fast,45,35,50,65,65,60,110,95,130,184,0,0,0,0,0,2,8
136,136,18,,62,fire,,field,,90,2500,red,red,quadruped,0,0,medium-fast,45,35,50,65,130,60,95,110,65,184,0,2,0,0,0,0,8
137,137,36,88,148,normal,,mineral,,80,3650,pink,pink,head-legs,0,0,medium-fast,45,20,50,65,60,70,85,75,40,79,0,0,0,1,0,0,8
138,138,33,75,133,rock,water,water-1,water-3,40,750,blue,blue,tentacles,0,0,medium-fast,45,30,50,35,40,100,90,55,35,71,0,0,1,0,0,0,8
139,139,33,75,133,rock,water,water-1,water-3,100,3500,blue,blue,tentacles,0,0,medium-fast,45,30,50,70,60,125,115,70,55,173,0,0,2,0,0,0,8
140,140,33,4,133,rock,water,water-1,water-3,50,1150,brown,brown,insectoid,0,0,medium-fast,45,30,50,30,80,90,55,45,55,71,0,0,1,0,0,0,8
141,141,33,4,133,rock,water,water-1,water-3,130,4050,brown,brown,bipedal-tailed,0,0,medium-fast,45,30,50,60,115,105,65,70,80,173,0,2,0,0,0,0,8
142,142,69,46,127,rock,flying,flying,,180,5900,purple,purple,wings-single,0,0,slow,45,35,50,80,105,65,60,75,130,180,0,0,0,0,0,2,8
143,143,17,47,82,normal,,monster,,210,46000,black,black,bipedal-tailless,0,0,slow,25,40,50,160,110,65,65,110,30,189,2,0,0,0,0,0,8
144,144,46,,81,ice,flying,undiscovered,,170,5540,blue,blue,wings-single,0,0,slow,3,80,35,90,85,100,95,125,85,290,0,0,0,0,3,0,8
145,145,46,,9,electric,flying,undiscovered,,160,5260,yellow,yellow,wings-single,0,0,slow,3,80,35,90,90,85,125,90,100,290,0,0,0,3,0,0,8
146,146,46,,49,fire,flying,undiscovered,,200,6000,yellow,yellow,wings-single,0,0,slow,3,80,35,90,100,90,125,85,90,290,0,0,0,3,0,0,8
147,147,61,,63,dragon,,water-1,dragon,180,330,blue,blue,serpentine,0,0,slow,45,40,35,41,64,45,50,50,50,60,0,1,0,0,0,0,8
148,148,61,,63,dragon,,water-1,dragon,400,1650,blue,blue,serpentine,0,0,slow,45,40,35,61,84,65,70,70,70,147,0,2,0,0,0,0,8
149,149,39,,136,dragon,flying,water-1,dragon,220,21000,brown,brown,bipedal-tailed,0,0,slow,45,40,35,91,134,95,100,100,80,300,0,3,0,0,0,0,8
150,150,46,,127,psychic,,undiscovered,,200,12200,purple,purple,bipedal-tailed,0,0,slow,3,120,0,106,110,90,154,90,130,340,0,0,0,3,0,0,8
151,151,28,,,psychic,,undiscovered,,40,400,pink,pink,bipedal-tailed,0,0,medium-slow,45,120,100,100,100,100,100,100,100,300,3,0,0,0,0,0,8
152,152,65,,102,grass,,monster,grass,90,640,green,green,quadruped,0,0,medium-slow,45,20,70,45,49,65,49,65,45,64,0,0,0,0,1,0,8
153,153,65,,102,grass,,monster,grass,120,1580,green,green,quadruped,0,0,medium-slow,45,20,70,60,62,80,63,80,60,142,0,0,1,0,1,0,8
154,154,65,,102,grass,,monster,grass,180,10050,green,green,quadruped,0,0,medium-slow,45,20,70,80,82,100,83,100,80,236,0,0,1,0,2,0,8
155,155,66,,18,fire,,field,,50,790,yellow,yellow,bipedal-tailless,0,0,medium-slow,45,20,70,39,52,43,60,50,65,62,0,0,0,0,0,1,8
156,156,66,,18,fire,,field,,90,1900,yellow,yellow,quadruped,0,0,medium-slow,45,20,70,58,64,58,80,65,80,142,0,0,0,1,0,1,8
157,157,66,,18,fire,,field,,170,7950,yellow,yellow,quadruped,0,0,medium-slow,45,20,70,78,84,78,109,85,100,240,0,0,0,3,0,0,8
158,158,67,,125,water,,monster,water-1,60,950,blue,blue,bipedal-tailed,0,0,medium-slow,45,20,70,50,65,64,44,48,43,63,0,1,0,0,0,0,8
159,159,67,,125,water,,monster,water-1,110,2500,blue,blue,bipedal-tailed,0,0,medium-slow,45,20,70,65,80,80,59,63,58,142,0,1,1,0,0,0,8
160,160,67,,125,water,,monster,water-1,229,8880,blue,blue,bipedal-tailed,0,0,medium-slow,45,20,70,85,105,100,79,83,78,239,0,2,1,0,0,0,8
161,161,50,51,119,normal,,field,,80,600,brown,brown,quadruped,0,0,medium-fast,255,15,70,35,46,34,35,45,20,43,0,1,0,0,0,0,8
162,162,50,51,119,normal,,field,,180,3250,brown,brown,quadruped,0,0,medium-fast,90,15,70,85,76,64,45,55,90,145,0,0,0,0,0,2,8
163,163,15,51,110,normal,flying,flying,,70,2120,brown,brown,wings-single,0,0,medium-fast,255,15,50,60,30,30,36,56,50,52,1,0,0,0,0,0,8
164,164,15,51,110,normal,flying,flying,,160,4079,brown,brown,wings-single,0,0,medium-fast,90,15,50,100,50,50,86,96,70,158,2,0,0,0,0,0,8
165,165,68,48,155,bug,flying,bug,,100,1080,red,red,wings-single,0,0,fast,255,15,70,40,20,30,40,80,55,53,0,0,0,0,1,0,8
166,166,68,48,89,bug,flying,bug,,140,3560,red,red,wings-single,0,0,fast,90,15,70,55,35,50,55,110,85,137,0,0,0,0,2,0,8
167,167,68,15,97,bug,poison,bug,,50,850,green,green,insectoid,0,0,fast,255,15,70,40,60,40,40,40,30,50,0,1,0,0,0,0,8
168,168,68,15,97,bug,poison,bug,,110,3350,red,red,insectoid,0,0,fast,90,15,70,70,90,70,60,70,40,140,0,2,0,0,0,0,8
169,169,39,,151,poison,flying,flying,,180,7500,purple,purple,wings-multiple,0,0,medium-fast,90,15,50,85,90,80,70,80,130,268,0,0,0,0,0,3,8
170,170,10,35,11,water,electric,water-2,,50,1200,blue,blue,fins,0,0,slow,190,20,50,75,38,38,56,56,67,66,1,0,0,0,0,0,8
171,171,10,35,11,water,electric,water-2,,120,2250,blue,blue,fins,0,0,slow,75,20,50,125,58,58,76,76,67,161,2,0,0,0,0,0,8
